# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Oct  2 09:54:08 2025
#
# COLUMN toi:            TESS Object of Interest
# COLUMN toipfx:         TESS Object of Interest Prefix
# COLUMN tid:            TESS Input Catalog ID
# COLUMN ctoi_alias:     TESS Input Catalog of Interest Alias
# COLUMN pl_pnum:        Pipeline Signal ID
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN st_pmra:        PMRA [mas/yr]
# COLUMN st_pmdec:       PMDec [mas/yr]
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD]
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm]
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN st_tmag:        TESS Magnitude
# COLUMN st_dist:        Stellar Distance [pc]
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_logg:        Stellar log(g) Value [cm/s**2]
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
# COLUMN toi_created:    TOI Created Date
# COLUMN rowupdate:      Date Modified
#
rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate
1,1000.01,1000,50365310,50365310.01,1,FP,07h29m25.85s,112.3577080,-12d41m45.46s,-12.6959600,-5.9640000,-0.0760000,2459229.6300460,2.1713484,2.0172196,656.8860989,5.8181633,22601.9485814,3127.2040524,9.6040000,485.7350000,10249.0000000,4.1900000,2.1698600,2019-07-24 15:58:33,2024-09-09 10:08:01
2,1001.01,1001,88863718,88863718.01,1,PC,08h10m19.31s,122.5804650,-05d30m49.87s,-5.5138520,-4.9560000,-15.5550000,2459987.9488730,1.9316462,3.1660000,1286.0000000,11.2154000,44464.5000000,4045.0000000,9.4234400,295.8620000,7070.0000000,4.0300000,2.0100000,2019-07-24 15:58:33,2023-04-03 14:31:04
3,1002.01,1002,124709665,124709665.01,1,FP,06h58m54.47s,104.7269660,-10d34m49.64s,-10.5804550,-1.4620000,-2.2490000,2459224.6878020,1.8675574,1.4080000,1500.0000000,23.7529000,2860.6100000,2037.0000000,9.2995010,943.1090000,8924.0000000,,5.7300000,2019-07-24 15:58:33,2022-07-11 16:02:02
4,1003.01,1003,106997505,106997505.01,1,FP,07h22m14.39s,110.5599450,-25d12m25.26s,-25.2070170,-0.9390000,1.6400000,2458493.3957000,2.7432300,3.1670000,383.4100000,,1177.3600000,1631.0000000,9.3003000,7728.1700000,5388.5000000,4.1500000,,2019-07-24 15:58:33,2022-02-23 10:10:02
5,1004.01,1004,238597883,238597883.01,1,FP,08h08m42.77s,122.1781950,-48d48m10.12s,-48.8028110,-4.4960000,9.3470000,2459987.0472620,3.5730141,3.3700000,755.0000000,11.3113000,54679.3000000,4260.0000000,9.1355000,356.4370000,9219.0000000,4.1400000,2.1500000,2019-07-24 15:58:33,2024-09-09 10:08:01
6,1005.01,1005,169904935,169904935.01,1,FP,08h02m49.15s,120.7048110,-11d06m05.48s,-11.1015210,-26.9320000,-2.9010000,2459985.1568550,4.5505945,2.6540000,3731.0000000,7.1084100,414.7750000,1257.0000000,9.1309000,100.7110000,5613.0000000,,1.0900000,2019-07-24 15:58:33,2025-07-08 10:08:01
7,1006.01,1006,156115721,156115721.01,1,FP,08h17m26.22s,124.3592390,-27d16m24.68s,-27.2735210,-29.1000000,-6.8000000,2459229.9845790,2.5047918,4.3797563,2270.5402194,8.6950898,1750.9326350,1649.8220699,9.2386000,,6616.0000000,,1.5342900,2019-07-24 15:58:33,2021-10-29 12:59:15
8,1007.01,1007,65212867,65212867.01,1,PC,07h31m00.57s,112.7523930,-04d27m48.09s,-4.4633590,0.3570000,3.3990000,2459247.9306950,6.9989206,3.9530000,2840.0000000,14.7752000,448.7440000,1282.0000000,8.8775900,283.2910000,6596.0000000,3.7100000,2.7000000,2019-07-24 15:58:33,2021-10-29 12:59:15
9,1008.01,1008,440801822,440801822.01,1,FP,07h17m31.88s,109.3828390,+13d23m42.79s,13.3952190,-17.9000000,1.3000000,2460258.2361220,2.0483755,2.7670000,483.0000000,3.1962100,5644.4000000,,8.9362000,144.2970000,6858.5000000,4.2000000,1.5700000,2019-07-24 15:58:33,2023-12-08 16:02:02
10,1009.01,1009,107782586,107782586.01,1,PC,07h26m40.28s,111.6678450,-24d27m43.6s,-24.4621110,-3.2970000,4.8490000,2459229.2309240,1.9600277,2.0065257,1707.6272693,,1063.3422958,1456.4246534,8.4331000,866.1470000,8868.7000000,,,2019-07-24 15:58:33,2024-01-17 10:08:02
11,101.01,101,231663901,231663901.01,1,KP,21h14m56.88s,318.7370120,-55d52m18.71s,-55.8718630,12.6410000,-16.0110000,2458326.0091170,1.4303699,1.6165994,18960.7122944,13.1874503,1281.2408254,1525.9048089,12.4069000,375.3100000,5600.0000000,4.4885100,0.8907740,2018-09-05 18:49:20,2024-09-06 10:08:02
12,1010.01,1010,139853601,139853601.01,1,FP,07h29m10.56s,112.2939810,-21d49m58.48s,-21.8329120,-5.7460000,4.5020000,2459228.8781010,0.6808702,2.4634563,1507.8006889,5.9115908,87140.6995884,4382.0266062,8.4508600,485.1220000,9438.0000000,,1.0000000,2019-07-24 15:58:33,2021-10-29 12:59:15
13,1011.01,1011,114018671,114018671.01,1,PC,07h35m56.34s,113.9847610,-32d50m31.2s,-32.8419990,145.1020000,-134.9010000,2459984.6277680,2.4704981,2.1910000,250.0000000,1.4465600,575.5970000,1364.0000000,8.2388000,52.6200000,5413.7000000,4.4600000,0.9400000,2019-07-24 15:58:33,2023-03-22 16:02:02
14,1012.01,1012,427508467,427508467.01,1,APC,07h48m22.87s,117.0952850,+06d47m06.23s,6.7850640,-2.9900000,-0.0290000,2459252.5095950,0.8841820,1.6210000,1890.0000000,24.8132000,112144.0000000,5098.0000000,8.1271800,295.9590000,8928.0000000,3.9200000,2.7200000,2019-07-24 15:58:33,2023-03-10 12:02:48
15,1013.01,1013,97700520,97700520.01,1,FP,07h09m08.66s,107.2860630,-31d56m00.68s,-31.9335230,-3.9730000,7.0610000,2459232.2483220,5.4255548,3.9637474,14939.6342222,,273.5880696,1037.2753045,7.6095000,510.2950000,8868.7000000,,,2019-07-24 15:58:33,2021-10-29 12:59:15
16,1014.01,1014,96246348,96246348.01,1,FP,06h54m14.78s,103.5616020,-34d13m22.15s,-34.2228200,-13.0630000,9.7370000,2459985.6570410,1.4095184,0.9484999,2841.5103258,,1650.4220710,1625.6180218,7.6780000,224.6720000,9307.0000000,,,2019-07-24 15:58:33,2023-11-20 10:08:02
17,1015.01,1015,155044736,155044736.01,1,FP,08h11m35.03s,122.8959640,-27d58m18.83s,-27.9718960,1.5660000,-17.9740000,2459963.6100650,1.3730466,2.5708515,1301.5065338,42.1479417,3160.6328329,1912.3318636,10.7069000,906.4960000,4897.0000000,,6.7996101,2019-04-01 16:51:56,2023-12-20 16:02:19
18,1016.01,1016,175310067,175310067.01,1,FP,07h44m26.59s,116.1107710,-36d05m53.83s,-36.0982850,-9.2310000,11.6140000,2459238.8311380,12.6889415,7.9201001,3232.8527885,14.0608342,425.1594177,1158.1310368,10.6257000,368.6460000,7601.0000000,4.3100000,1.5364100,2019-04-01 16:52:03,2024-09-09 10:08:01
19,1017.01,1017,182943944,182943944.01,1,FP,08h18m54.34s,124.7264110,-37d46m59.7s,-37.7832500,-11.2780000,9.5930000,2458518.9653600,1.1042200,2.3700000,14177.7000000,21.0448000,39459.3000000,3926.0000000,10.6019000,406.9970000,6995.2000000,4.0700000,1.6100000,2019-07-24 17:08:12,2021-10-29 12:59:15
20,1018.01,1018,291555748,291555748.01,1,FP,07h26m51.84s,111.7160190,-50d15m59.64s,-50.2665670,-8.0180000,11.5600000,2458492.7807800,4.9591200,2.5090000,7440.0000000,22.9123000,673.5500000,1419.0000000,10.6254000,360.5410000,5889.0000000,3.8600000,2.0000000,2019-04-01 16:52:01,2021-10-29 12:59:15
21,1019.01,1019,341420329,341420329.01,1,PC,08h00m35.52s,120.1479940,-54d52m42.79s,-54.8785520,-11.7320000,2.5860000,2459232.4468640,5.2341008,3.7078139,20796.9416293,24.2931408,1453.6663847,1574.8381848,10.6348000,399.5440000,7645.0000000,4.3000000,1.5620300,2019-07-24 17:08:12,2024-02-16 10:08:02
22,102.01,102,149603524,149603524.01,1,KP,05h48m33.56s,87.1398210,-63d59m17.98s,-63.9883290,-15.6410000,26.0460000,2460187.9165710,4.4119378,3.6500000,15062.0000000,15.4706000,653.2520000,1408.0000000,9.7109000,175.6310000,6280.0000000,4.3209200,1.2100000,2019-05-07 17:42:37,2024-10-03 10:08:02
